name,id,type,label,customerId,CustomerName
5443B2E17B4C-010,20001700-b79d-11ef-9681-df1aaf416822,SEN5X,Cosanum 12,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
8C4B140B9C78-001,23ce22f0-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA3 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA34F4-001,24169da0-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA3 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25E8A6E8-001,2454b810-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA6 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA1CB0-001,248760d0-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA3 MAX,e21b4fa0-4bc3-11ed-9a85-43b5866161ae,Project Clogging
24D7EBBD44B8-001,248abc30-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA3 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
24D7EBBD4A80-001,2490d6b0-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA6 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
3CE90E1171E8-001,24c1d1c0-a1d5-11eb-815e-ebaaf988cf91,Modbus V6 Fan,CA3 MAX,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
8C4B140B9C78-002,24dbc260-a1d5-11eb-815e-ebaaf988cf91,BRAVO,Konferensen,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA34F4-002,2521a501-a1d5-11eb-815e-ebaaf988cf91,BRAVO,Refurbished - Sensor 1,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
